# npoints=256 nbar=4000 length= 200.0Mpc verr=1660.0km/s nonlin= 250.0km/s
#dipole v_rms = 125.498322
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0   116.06   -28.11  -167.66   -71.93  -178.00   199.96   -30.81
     1   106.73   -19.23  -172.87  -192.55   -64.32    72.28  -256.89
     2   104.09   -15.23  -174.64  -256.06  -253.91  -176.23   135.11
     3   116.51   -30.64   175.98  -334.27   244.11    12.93  1732.23
     4   123.05   -32.23   163.88  -441.72   181.27   115.92  2671.11
     5   106.65     6.31   160.63   -47.77  -121.67   -86.35  1013.09
     6   111.94     2.80   153.43   122.96   132.08  -112.23  2029.97
     7   128.18    24.87   149.30   -76.90   -55.12   238.76  3850.69
     8   138.72    28.60   145.19   -91.53  -324.70   578.72 -2725.18
     9   128.21   -13.75   143.42  -152.28   246.26  -265.80  1130.89
    10   146.78    28.62   140.91  -108.55  -171.04   320.86  4081.21
    11   152.57    22.58   135.22   -50.19   224.35    72.19   213.69
    12   153.33    36.96  -144.08    72.42   111.10   411.37  -959.24
    13   139.33    28.83  -144.38   162.06   115.17   302.44  -811.31
    14   103.89   -14.81  -171.05  -138.68   132.33  -180.18  -157.59
    15   129.01    39.03  -171.93  -372.45   -67.86   218.03   339.86
    16   135.63    41.49   167.57  -309.99   373.93   -32.12    -6.74
    17   105.42   -11.98   164.17   108.61    12.43    37.98  -928.28
    18   107.32    10.49   160.09    86.21  -187.46   310.65  -909.85
    19   127.98   -32.08   156.21  -364.78   327.36   -38.43   708.41
    20   114.42    15.85   154.34    77.95   -11.23   360.33 -1369.45
    21   129.78     1.38   139.89   -19.19    57.17  -341.62   742.08
    22   145.64    20.41   136.62    27.45   195.76   -26.03  1437.98
    23   138.72     1.61  -135.23   112.88    37.42  -340.40 -1595.90
    24   140.27   -18.85  -137.86  -167.43   291.12    66.42  -942.04
    25   125.34    15.18  -144.46   -78.93  -134.06   -93.82 -1703.91
    26   128.07   -21.47  -145.68  -318.89  -329.35    46.90  1655.23
    27   106.38    15.33  -163.64  -206.25   171.86  -280.82 -1924.62
    28   102.17     0.44  -164.48   -33.89  -262.41  -318.02 -1073.15
    29   117.97    33.34   177.27  -408.41    67.29   -91.10 -1913.64
    30   145.94   -38.78   149.91  -328.05    73.41  -168.13 -1791.15
    31   159.42    33.96   138.11   -58.07  -181.69   333.20 -1019.86
    32   137.99    15.10  -137.14   158.82   198.03   166.44  2116.23
    33   119.00     1.13  -145.16  -319.35    45.17  -195.94  2543.41
    34   143.71   -34.43  -145.47  -220.77   -43.92    56.82   386.59
    35   119.14     9.05  -146.10  -171.81   -29.12  -236.39   618.19
    36   142.37   -42.88  -159.39  -374.62    -9.33    28.47    36.25
    37   123.85   -33.29  -160.61  -140.37  -478.59    18.47  1576.17
    38   107.70   -16.00  -160.61    -4.23  -184.03  -224.60 -1546.10
    39   130.94   -41.47  -174.52  -323.50  -109.05   -60.45 -2681.86
    40   136.46    44.30  -179.54  -446.18     7.34    65.45 -1037.27
    41   101.48     6.63   165.64  -159.25  -165.47   -45.88  -567.49
    42   129.01    37.71   163.09  -483.19   101.66   468.01  -546.69
    43   111.86    22.59   161.02   -52.09  -174.58   501.94   969.74
    44   114.76    20.73   155.49  -104.19   -20.74   248.87  1190.65
    45   113.19    15.62   153.62   165.40    85.56   177.66  1433.30
    46   113.50     8.31   150.40   165.04   319.15    46.87 -2125.19
    47   118.77   -18.40   150.06  -237.70  -146.87  -165.99 -2295.56
    48   113.10    -0.79   149.72   -34.10   316.27   -21.28  1843.04
    49   128.64    19.51   143.65   283.91    77.24   -98.31 -1281.11
    50   153.58   -25.94   135.00   -34.46  -144.85   238.94  -608.65
    51   143.53    15.79  -134.54   244.27   175.05   -29.98  -973.21
    52   144.35    17.64  -134.77     4.82   212.70   216.33 -1817.97
    53   157.91    38.56  -141.68  -193.67   102.30   294.38  -324.79
    54   122.20     2.93  -142.54  -131.52   -41.02  -276.67   786.67
    55   152.67   -37.51  -143.13  -154.40   -26.41   -87.19  -502.11
    56   137.11    32.77  -147.17  -200.80    63.30   230.05  -723.13
    57   116.01   -11.66  -148.50  -155.35  -186.60  -249.57   136.71
    58   104.23   -19.71  -170.84  -197.49   -83.37  -118.36  -805.29
    59   100.45    13.49  -172.65  -179.14  -151.05   -69.82 -1374.32
    60   101.05    11.14   167.72    17.50  -120.38   272.02 -1476.73
    61   100.16     2.68   165.53  -209.38   -24.30  -257.17  -291.76
    62   115.14    28.36   162.96  -301.33   178.10    71.54 -1545.32
    63   141.03   -41.66   156.86  -369.01    -8.85  -258.95  2402.64
    64   121.23   -18.02   147.17  -122.94   -11.15  -158.29  1081.19
    65   132.40    26.64   144.95  -115.64  -150.74   180.56  -995.43
    66   135.74    19.50   139.21    54.34  -191.03   -11.69  1430.50
    67   143.49   -22.40   136.91   -36.29   272.63  -349.83  -755.20
    68   157.33    29.45   135.00  -266.12    40.71   267.23  1047.68
    69   136.96   -12.52  -135.95  -100.93   409.05  -583.17  2021.91
    70   132.77     7.78  -136.93  -155.50   113.41  -364.15 -1592.12
    71   136.26    42.13  -161.99  -369.20  -220.61   310.18 -3262.50
    72   115.49   -33.69  -179.53  -173.60  -138.63   -17.01 -3141.29
    73    96.30     3.72  -179.53  -294.82   -39.90  -460.16  -411.60
    74    98.07   -10.56   175.35  -495.24  -107.33  -175.57   904.58
    75   120.05   -34.03   164.98   -57.61   -64.26  -104.63   627.87
    76   112.26    20.79   156.30   -56.16   -49.07   241.87 -1327.66
    77   110.52    16.00   154.75   184.44  -165.14   138.02   307.38
    78   134.91   -17.87   138.45  -102.21   183.78   155.78  -206.29
    79   146.71   -21.56   134.77    52.92   612.36  -226.85  -190.51
    80   130.00    -2.07  -137.19     3.91   135.36  -331.75   -56.36
    81   150.09    37.90  -143.58   -64.55   100.26   163.49  4291.69
    82   114.77   -18.66  -151.23   -83.78  -217.87    69.41  -666.67
    83   108.92   -17.96  -156.91   -76.89  -178.64  -207.02  3094.49
    84   128.12    37.13  -158.93  -384.60   -71.94   377.26  1353.99
    85   125.15    37.27  -163.13  -432.41  -131.00   237.45   725.90
    86   103.33    17.15  -164.86  -435.20    86.63  -172.04  1378.13
    87   111.66   -28.87  -167.07    39.39    27.54    70.37  1702.44
    88   127.83    41.30  -172.99  -543.96  -215.72   130.38 -1200.49
    89   103.75    23.05  -176.72  -398.30  -267.71    72.33  1503.57
    90   103.43   -22.19   174.38  -196.79  -293.93   157.46   714.43
    91   120.74   -31.17   157.31  -214.62   173.90    54.13   476.37
    92   116.18   -22.12   152.32   -80.42  -129.09  -121.55  1812.58
    93   124.21   -13.46   142.09   -42.83   162.27  -318.88  1199.20
    94   135.83   -18.44   137.70  -112.83   244.34   300.80  -590.83
    95   160.61    35.03   136.44   -12.46  -106.41   378.43 -3674.48
    96   136.76    13.21   135.71    35.92   132.26   -58.55   362.40
    97   152.76    28.07   135.00  -306.65   179.66   270.98   -65.20
    98   161.17   -32.88   134.77  -285.41  -198.51   175.66 -1758.53
    99   152.43    37.96  -141.86  -132.38   -49.56   299.16 -2677.68
   100   119.12    17.95  -146.53  -161.12   134.81  -143.69  -921.30
   101   115.25    25.71  -155.56  -230.55   132.33  -152.12 -2442.77
   102   118.61    33.14  -162.14  -433.73    72.28   109.88 -1671.71
   103    95.88     6.55  -172.93   -81.00   132.57  -256.46  1237.68
   104   100.07    19.14  -179.53  -140.62  -238.24   -97.63 -2142.32
   105   104.52    25.22   178.58  -139.10  -119.51   313.73  -127.85
   106   137.24   -44.44   164.74  -533.26   346.78  -133.26  2718.65
   107   103.00   -15.85   162.57    98.14    90.82  -199.38   526.61
   108   116.12   -31.20   162.14  -167.24   139.15   104.65 -1543.08
   109   105.34   -11.55   156.35   157.01  -194.82  -175.56  -726.89
   110   111.51    17.11   152.50   136.91   118.05   191.35  -347.49
   111   138.01   -37.69   149.95  -133.21    41.80   214.50  -585.50
   112   135.61   -30.85   144.28   -24.49   -46.89  -155.96  1173.65
   113   127.38   -22.35   143.36    86.54   179.43  -198.23  1256.82
   114   129.43   -22.35   142.16    15.30   143.25  -168.60  4760.87
   115   134.49   -26.20   141.57   129.96   -63.77   -20.25  1063.08
   116   125.32   -11.87   140.43     1.15   353.63   -48.42  -623.81
   117   134.25   -25.14  -140.48  -304.72   -94.62    80.62  1376.88
   118   122.73    14.00  -141.93     8.39  -117.19  -107.85  4299.49
   119   108.60     2.06  -149.74  -149.14  -150.17  -261.71   204.17
   120   112.64    28.14  -160.71  -210.69   202.91   -69.38   879.75
   121   138.98    45.10  -162.86  -394.35   -69.77   120.99  -821.41
   122    98.88     8.18  -163.30  -346.78    48.81   189.02  -130.91
   123   111.83   -33.02  -179.05  -112.25  -151.35    91.69  2102.06
   124   110.62   -31.98   177.61  -226.46  -104.42   -10.09   696.31
   125    96.55    12.62   174.29   -65.90  -282.69   -11.30  -659.94
   126   115.03    34.78   172.87  -359.61  -123.08   -20.98  1945.43
   127   137.40    44.83   164.18  -493.06   269.07   142.87 -2675.10
   128   137.71   -44.70   163.30  -571.99   225.46   -90.63   710.88
   129    99.12     9.07   163.30   277.72  -159.99    99.27  1760.62
   130   101.44   -14.72   162.86    30.23   -20.74  -393.04   823.22
   131   120.42   -33.02   158.20  -168.99    88.83    56.21  2618.29
   132   144.59   -39.61   147.31   -37.37   153.73  -281.77  -124.97
   133   117.60    14.23   145.33   114.26    44.68   186.48 -2365.36
   134   127.14     0.70  -136.99  -129.08   202.27  -491.45  -956.08
   135   117.88    -6.85  -142.59  -260.95   209.22  -366.16   619.65
   136   107.54    -2.08  -149.89  -268.05    -1.30  -292.05  -163.30
   137   114.23    22.94  -152.10  -429.59    27.93  -104.72   376.36
   138   105.05    12.02  -154.80  -291.98   120.07  -186.98  -287.11
   139   136.10   -43.09  -159.29  -203.02  -113.95   -20.59  1067.74
   140   100.76   -19.47  -168.14  -102.85  -111.31  -135.12 -1488.79
   141   134.89   -46.38   177.59  -602.19   257.94    64.81 -1857.02
   142    96.20    -8.41   167.68  -283.85    63.50  -363.23  2900.47
   143   110.40   -25.12   158.45  -262.33   322.90    17.49  2454.47
   144   108.50   -22.88   158.45  -294.27   168.75   -29.62  1401.61
   145   114.25   -27.71   156.80  -256.98   233.99   -17.91  2360.93
   146   106.87    -5.87   150.99   255.28    27.78  -375.98   681.57
