# npoints=256 nbar=4000 length= 200.0Mpc verr=1660.0km/s nonlin= 250.0km/s
#dipole v_rms = 125.498322
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0   134.57    -5.66  -138.31   -77.82   227.36   296.22  1541.82
     1   130.69     9.64  -140.91    46.57   136.49    74.20  1435.35
     2   133.98   -18.71  -142.00   118.09   140.67   114.66  1293.92
     3   136.54    30.61  -148.32   -60.74   340.19  -151.53 -1838.27
     4   135.36    36.48  -156.75  -182.16   109.97  -106.34  -687.88
     5   106.05    -8.05  -162.24    25.49   497.15  -130.21 -1178.60
     6   138.15    41.86  -166.39   103.84  -185.12  -144.09  1617.41
     7   106.91   -16.12  -166.81    75.94   231.89   488.81   509.17
     8   122.27    35.10  -178.66  -423.09  -214.97  -125.17  1150.07
     9   111.31    25.35   173.76  -252.42    88.62  -202.35  5117.45
    10   127.50    31.39   156.75   -89.82   214.17   -70.93  1014.49
    11   136.38    -6.58   137.57   421.25   249.00  -204.33  -591.39
    12   147.42   -19.83   136.14    74.81  -360.51   180.30 -1146.35
    13   163.05   -35.77  -138.59    19.37     3.16  -219.48  1655.36
    14   149.91   -34.25  -143.20  -108.33   224.84   -54.93  1668.99
    15   136.73   -27.20  -144.68   201.22   -37.73   371.50 -2467.77
    16   141.00    34.03  -148.12    82.68    34.17  -120.46 -1318.43
    17   150.44    40.48  -150.11   -54.12    86.97    54.53  -783.16
    18   140.38    40.21  -157.73   105.01   226.19     8.84  1116.92
    19   105.37    -2.55  -160.49    28.06   218.74    32.01 -4184.22
    20   137.35    41.72  -165.43   170.58  -174.52   -46.91  1565.92
    21   121.54    33.56  -168.43  -205.62  -207.00  -223.07 -1372.72
    22   105.67    18.09  -171.05  -386.72  -258.74  -228.02  1839.99
    23   121.61   -35.32   179.55    32.78   132.95   249.66  2760.72
    24    99.38     3.15   179.10  -124.03  -103.17    -1.36  1765.13
    25   138.16   -44.07   178.20    64.16   151.18    13.69  1507.56
    26   119.46    32.43   169.73  -246.09   149.85  -105.52   761.19
    27   110.42    -0.81   153.98   414.28  -125.15   -29.72  -163.35
    28   128.87   -29.81   152.54   -59.35   111.59   230.44  -233.29
    29   157.85   -35.04   140.15  -315.45  -177.50  -141.28  1923.38
    30   131.00    -6.16   139.62   131.70   106.86   -78.85 -1449.79
    31   132.02    -6.46  -138.62  -108.53   253.78   252.73  1983.04
    32   128.64     0.35  -139.93   104.02     2.80   -35.07 -1012.37
    33   128.16   -39.80   178.64    42.04   354.16   395.67  3548.22
    34   123.30    37.01   178.64  -498.06  -275.69   -75.71 -1200.93
    35   100.56     1.78   168.34   139.37  -179.20     4.49  1313.35
    36   137.08   -38.82   157.19  -327.51    40.68     1.68  1251.42
    37   136.74   -35.64   152.35  -590.21   210.50   -76.51 -1249.27
    38   112.62     0.79   150.95   238.98  -202.18   140.96  -602.51
    39   123.11   -21.99   149.57  -290.20    45.54  -104.25  2351.33
    40   138.00   -28.76   144.46   -34.82   -93.28    57.45  -716.15
    41   147.57    28.11   139.14    -2.20  -291.62  -127.43   655.30
    42   135.01   -12.70   138.37    28.01   250.59   -80.15   451.44
    43   133.78    26.35  -144.55  -156.76   105.26  -280.61 -4354.18
    44   119.35    -4.51  -145.16  -143.92   167.07   202.58 -1165.27
    45   125.56   -21.54  -146.74   145.44   234.39    23.60 -1354.58
