# npoints=512 nbar=10000 length= 100.0Mpc verr=1000.0km/s nonlin= 250.0km/s
#dipole v_rms = 188.535057
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0    82.28   -35.06  -137.94  -245.91   313.63   -87.30   425.38
     1    74.41    31.31  -141.86  -295.80   213.80  -197.67  -974.68
     2    62.49    -3.40  -143.27  -692.26    48.27  -144.29  -458.34
     3    61.35     0.36  -144.59  -465.30    43.27   -55.97   739.29
     4    69.14   -34.21  -150.98  -274.32    -4.30   -45.74  -561.63
     5    56.17     5.59  -153.43  -579.83    26.98   172.58  1819.07
     6    54.77    -7.79  -157.13  -506.41  -156.01   123.99  2007.01
     7    57.23    21.63  -160.03   -58.68  -326.58    93.97 -1106.92
     8    52.60   -15.95  -171.34  -117.22  -243.85  -191.85  1305.90
     9    59.56   -32.31  -173.32   -65.89  -530.10  -248.02   145.62
    10    58.80    31.65  -177.32   143.55  -280.34   132.28  -829.69
    11    62.78    35.58   168.30  -293.89   -53.38   167.97   -97.60
    12    52.90   -10.64   164.08    99.23   127.81    93.65  -187.11
    13    53.30    12.70   164.08  -248.31    92.25   -65.88  -242.30
    14    68.38    38.93   160.03  -504.92   -24.89  -115.23   -77.88
    15    69.87   -35.75   151.85  -422.17  -107.21  -252.62   624.71
    16    61.36   -16.08   147.99  -157.46   -50.06   392.43    24.76
    17    64.67    -5.02   140.91    12.55   235.41  -146.66 -1853.88
    18    73.66    18.07   135.57  -261.97   363.47    71.35   402.09
    19    79.64   -33.83  -138.83  -244.88   419.96    40.13   596.04
    20    59.14   -20.29  -153.89  -141.48   -84.87  -317.57  1473.00
    21    58.27    21.22  -156.48  -176.75   -66.05   183.71   295.64
    22    54.49   -13.68  -160.16  -326.47  -193.61  -193.67  -389.84
    23    67.37   -40.28  -165.70   139.87  -133.95  -175.25  -605.71
    24    60.95   -35.00  -175.96   -46.82  -401.98  -358.65   389.60
    25    50.85     7.73   171.30   -87.11   113.83   -44.92   542.78
    26    61.75   -33.82   166.12  -118.77  -271.90  -212.58   202.77
    27    65.11   -33.71   156.86  -430.65  -242.21  -313.39  1101.49
    28    68.07    18.92   140.66  -144.35   171.87  -114.05   590.57
    29    72.70    21.60   137.46  -181.25   349.13   -35.17  1223.98
    30    73.46   -27.56  -139.62  -322.85   281.90  -329.90  2606.06
    31    78.91   -34.87  -140.02  -294.46   377.66    -6.73  -813.36
    32    77.06    36.92  -143.64  -392.25   331.84    68.95   666.79
    33    57.57   -24.67  -161.50    49.33  -182.70  -281.73   985.91
    34    58.87   -31.39   170.83   -14.59  -356.72  -204.82  2755.93
    35    56.79    27.00   168.65  -134.56   -28.37   310.67  1119.94
    36    58.41    29.22   166.71  -170.51    47.87   320.78   191.88
    37    53.17    13.38   163.55  -174.74   122.48    57.29   225.94
    38    55.02   -18.85   162.31   140.63    62.35    80.45  -483.78
    39    54.59    17.49   162.31    37.47   122.19   163.88   920.71
    40    54.54    14.94   160.29  -111.60   172.31    73.21 -1080.12
    41    54.34   -10.77   158.32    90.58   207.14   293.15   203.90
    42    57.53    18.82   155.64  -255.90   234.44   265.68   117.48
    43    70.85   -34.60   148.28  -315.54   202.65  -323.45  -579.91
    44    66.66   -19.33   142.06  -196.35   444.39   -86.67  1795.29
    45    72.39    27.65   140.69  -345.07    51.60   -24.49  -536.33
    46    80.52   -32.75   137.10  -198.00   190.85    14.31 -2048.98
    47    67.93     2.80   136.98  -324.41  -201.92   180.35   648.02
    48    65.75     3.75  -138.86  -431.48   186.53   166.03   236.26
    49    78.89   -34.88  -139.77  -293.81   345.09   -15.90   608.23
    50    61.85    -2.35  -143.09  -656.32   -10.15   -81.75   176.35
    51    62.51     9.35  -143.24  -394.98   129.23   364.67  -566.21
    52    60.46    17.87  -149.17  -326.78    37.26   317.13  -538.86
    53    71.66   -37.23  -150.01  -252.92   105.80     4.67   413.48
    54    55.07    17.97  -160.62  -109.10  -199.36   253.71 -1038.98
    55    59.53    28.62  -161.02   242.52  -372.40   305.55    16.22
    56    52.50     8.77  -162.25  -368.11  -195.74   233.29 -1332.50
    57    51.20    13.01  -172.12    19.20  -368.44   180.48  1349.42
    58    53.10   -20.90  -175.03  -161.17  -234.25  -577.80  -316.35
