# npoints=256 nbar=4000 length= 200.0Mpc verr=1660.0km/s nonlin= 250.0km/s
#dipole v_rms = 125.498322
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0   159.13    32.35  -138.06   103.82   256.67   114.19 -2719.28
     1   140.77   -27.79  -143.42   225.04   360.73  -235.33   -37.19
     2   117.93    -9.53  -149.30   -59.78   367.39   -12.87 -3498.38
     3   118.32    13.36  -150.30  -288.64   279.44   100.22  3796.79
     4   122.86    22.82  -152.02    91.56   -54.01  -273.81 -1404.52
     5   139.22   -41.04  -162.24   -53.37  -337.32   266.87 -1163.71
     6   103.96    14.80  -174.20    44.66   -94.86  -229.07  2726.37
     7   138.95    43.75  -175.09  -111.87   236.06   -48.29   865.46
     8   102.90    13.61  -179.10   113.89  -221.85   -96.85  1392.70
     9   136.54   -42.91   180.00    49.17   358.80   145.64 -1030.79
    10   139.12    43.69   173.76   337.04    22.36   464.14   961.20
    11   134.11    38.13   161.43  -130.73   280.56   380.02  1607.22
    12   143.04    36.15   149.97    42.22    91.32   135.25   282.05
    13   116.49    -5.77   149.63  -218.74    92.56  -177.77   602.88
    14   121.81    -8.48   146.10   330.71   -71.73   -98.40 -2888.25
    15   133.50    12.50   140.11   141.38  -105.22   508.65 -2198.31
    16   135.33   -13.01   139.33   -35.29  -114.40  -385.26  -115.24
    17   152.47   -23.56  -135.23     6.60  -242.21   200.57   803.81
    18   125.26    -6.81  -142.91   192.78   172.16  -332.75  2983.24
    19   125.52   -16.64  -145.59     8.88   -86.67   -79.33  -817.76
    20   105.07    18.20  -173.71    74.24  -129.97  -128.30 -1934.70
    21   117.68   -32.53   179.55   -83.95   145.12    22.34 -3443.39
    22    99.46     3.60   178.20   -29.72    27.88   -41.50   668.67
    23   107.85   -22.13   173.26    58.19  -341.98  -173.23  -628.14
    24   130.38   -39.43   170.17  -288.23   245.78   250.19  -245.92
    25   106.32   -15.78   165.86   428.14   -53.51   -42.81  1220.47
    26   130.70    27.40   148.77   237.44    69.20    -1.90 -1918.39
    27   122.62    -5.48   144.38   299.52   117.67  -174.94  3734.45
    28   128.83    18.02   144.08    96.53    67.09   283.86 -1148.83
    29   155.57   -27.84  -135.69    82.09  -222.86    20.05  -157.87
    30   154.43   -30.73  -137.86   251.06   -84.18   -26.38   677.17
    31   129.11   -15.80  -142.41   -35.99  -266.38    65.61  1835.32
    32   117.98   -20.14  -152.71  -149.30   480.67  -120.03 -1117.47
    33   115.50    19.77  -154.91   -74.98    91.61  -233.21   505.90
    34   108.39     1.24  -155.28  -147.90   108.79   -76.48    40.90
    35   133.78   -38.25  -159.54   -40.94  -192.21   209.04  -778.49
    36   108.85   -23.70  -170.98  -268.82  -177.23   203.28   887.09
    37   127.43   -39.16  -175.01   -60.71   129.23    90.60 -1800.65
    38   115.49    31.39   176.82   136.24  -147.38  -282.89   222.09
    39   107.89    23.47   174.11   357.00   107.33  -209.75   241.04
    40   103.54    11.75   166.18   155.32   101.21    11.14  1066.31
    41   103.09     1.74   162.80  -143.84  -151.49   274.33  -871.83
    42   104.96     7.70   161.16   -69.21   -23.26   -34.98  2759.18
    43   115.07    16.97   153.43  -103.16  -460.27   -54.95  1040.81
    44   134.25   -30.42   148.24   -68.98  -256.11    71.74 -1595.97
    45   155.96    39.14   144.46   188.94   -18.86    56.68  2261.35
    46   137.94    26.22   142.70  -200.42   301.33   220.70   465.05
    47   150.13   -33.83   142.13   402.44  -105.22   110.69 -1949.74
    48   132.01   -11.95   139.66    13.34   -39.71  -162.01  1626.05
    49   129.18    28.54  -149.37   150.18  -219.63   102.23  1063.11
    50   120.65    29.05  -157.80    -4.20   -13.27  -241.69  1259.60
    51   106.30    22.92  -175.88   254.05   -20.35   -28.05 -1101.68
    52    98.38     6.38  -177.25    48.31   -16.69   -47.97   290.38
    53   106.60    -7.16   157.41  -100.48  -130.65    79.70  2403.30
    54   143.79    41.52   155.11    89.82  -131.64   150.41   -70.76
    55   143.72    39.09   151.10   183.67   -61.74   324.46  -399.25
    56   117.92    15.76   149.37   173.51     9.75   101.38  -172.50
    57   150.59    38.88   146.42   109.06  -143.59   187.45   423.05
    58   126.65    21.72   146.10     5.55   176.14   161.38  2962.53
    59   145.70   -34.64   144.55   179.96  -233.37   445.64   328.87
    60   133.09   -25.75   144.55    44.65  -206.08  -121.51 -2014.93
    61   148.11    27.32  -137.41   105.24  -207.02    94.77   596.47
    62   131.45   -22.36  -142.84   189.80     7.84   122.77  1324.29
    63   119.68    13.98  -146.52  -161.91   173.97   165.87   329.02
    64   120.60    25.31  -152.70    38.14  -275.80   -83.35  2094.20
    65   121.20    29.33  -156.47   119.37   -78.96   -94.68  -797.56
    66   115.35    26.99  -160.46   -14.71   234.72  -372.02   426.32
    67   105.59    16.77  -163.39  -162.96   -35.60   255.47 -1876.58
    68    97.57     4.59  -174.93   349.48    97.20  -223.07  -361.94
    69   115.71    33.15   180.00    98.71  -219.41  -164.55  -247.23
    70    99.06    11.83   177.69   -46.51   -91.60   -28.46   322.03
    71   116.46   -33.37   174.93   207.61   183.89  -155.32 -1291.42
    72   120.62   -35.66   171.29    87.65   201.51   -65.33 -1387.77
    73   101.99   -10.59   165.10   243.93  -214.06   128.36  1339.35
    74   107.87    21.68   165.10    90.24   104.79  -449.42 -2897.86
    75   101.62     4.41   162.96    67.02   -61.97   156.03  -562.66
    76   115.14   -19.83   153.43   154.92    99.54  -670.41   198.74
    77   110.49    -0.41   151.26    56.20   -66.96    48.93  1852.93
    78   115.82     7.36   147.50   452.43  -243.83    18.13  -524.86
    79   118.55    12.56   146.85   468.49   -82.60    34.49 -2639.45
    80   154.10   -28.13  -135.00   271.34  -199.65   -39.66   497.63
    81   139.51   -14.93  -135.47    86.42   204.57  -293.13  1761.14
    82   137.82    15.79  -136.43   123.44    80.23   357.15  1262.44
    83   145.12    26.89  -137.94    43.24    10.19    93.31 -1508.96
    84   143.03   -36.15  -146.31    11.46   100.06    26.22 -2326.32
    85   113.18    -9.14  -149.31  -168.25   479.24    96.30 -2062.44
    86   132.70    36.07  -153.62   195.30  -308.38   188.96  1599.38
    87   107.50    -7.52  -154.37    34.58   -29.39   -94.61   988.06
    88   139.39    40.13  -154.37    24.09  -180.23   355.80 -1442.76
    89   136.26   -42.13  -161.99   127.04  -339.18    84.85  -494.09
    90   139.10    43.69  -162.83   189.38   -25.52   -74.17 -2062.56
    91   131.62   -40.76  -164.55    61.93  -339.10   150.12   817.28
    92   106.89   -21.44  -164.98  -182.13  -125.53    59.32 -1249.88
    93   116.56    32.43  -167.62    50.30   179.59   -43.41 -2104.75
    94   118.98    35.76   174.43   197.34   -64.39   -98.30   558.21
    95   114.23    30.86   168.51   125.25   -33.34  -212.07  -368.86
    96   132.71    42.15   167.62  -135.12   202.67   476.89  -340.40
    97   113.54   -27.90   163.26  -160.59   252.87  -441.93  2055.86
    98   106.80   -19.66   162.83   186.61   177.18  -339.27  1058.01
    99   101.87     2.20   160.73   -71.86   -55.32   325.53  1942.10
   100   107.06   -12.22   156.69    78.18   -66.32  -151.59 -4149.51
   101   133.28    37.14   154.75   -45.66    93.68   140.49  -694.51
   102   108.76     2.06   152.15   -84.72  -148.99   344.45 -1431.25
   103   118.63    18.43   148.63   268.83  -118.93    13.96 -1790.49
   104   157.62   -30.04   134.77   226.01    25.27   -87.05 -3222.84
   105   137.94    16.79  -136.20   -60.52   121.10   303.46    88.26
   106   136.35   -23.29  -139.55    10.33   -37.60   178.80  2070.63
   107   154.77   -36.92  -140.38    94.63   344.00  -302.36 -1313.67
   108   129.42    34.57  -153.43   318.31   -76.29   259.72  2647.48
   109   105.29    -6.82  -155.73     7.53   -76.06  -153.10   600.28
   110   125.60    38.46  -165.74    -6.45    19.98   348.00   998.97
   111   104.95   -24.64  -177.65  -201.71  -198.43   104.59 -1435.16
   112    95.90     6.08   178.12    29.69   -54.28  -143.24  1009.74
   113   114.93    33.41   173.45   214.92   -89.88  -288.71 -1108.56
   114    98.68     5.91   166.18    67.82    89.91    72.97 -1887.21
   115   143.85   -35.53   144.51   222.98  -208.50   407.12   615.54
   116   149.85   -38.35   144.20   297.51  -273.56  -134.12  4289.34
   117   119.38     0.37   142.98   257.62   -81.96  -265.10  1182.78
   118   155.41   -37.83   140.94   -22.55  -108.14  -215.27  1131.49
   119   160.03   -37.61   138.75   128.27   -82.04   -88.65   106.05
   120   159.08   -31.70   134.77   363.10    40.73    -1.02  2320.45
   121   156.38    29.64  -134.07   128.82   130.21   -67.13     6.24
   122   130.87    18.45  -139.59  -122.21   124.13   311.36  -351.08
   123   123.33    13.93  -142.16   -70.26    52.74   196.30   630.39
   124   140.03    31.63  -142.45    95.51  -153.57   130.96   496.65
   125   116.73   -15.53  -147.19   -36.92   313.03   -16.01   415.07
   126   120.93    28.56  -152.87   150.42  -338.91     0.93  3353.18
   127   126.83   -36.25  -157.55   -43.93  -202.34    27.92 -1252.31
   128   116.59   -34.25  -168.78  -376.09  -284.11   -81.39  2977.57
   129   113.76    33.80  -179.53   291.08  -204.27  -130.67    45.15
   130   108.45    29.33   179.05   147.91   -71.50  -289.04 -1510.76
   131   107.80    26.24   167.87   409.47    27.96  -270.47   281.75
   132   110.72    27.75   164.74   249.00   152.81  -342.45  -629.71
   133   101.60    -3.53   158.77    54.12  -177.54   200.88  -396.21
   134   140.56   -43.13   157.15   142.03  -102.81   -54.75  2112.65
   135   138.48    37.13   148.90     0.09   -14.52   260.58  1215.04
   136   154.25    39.66   142.75   -52.22  -116.71    54.70  -895.46
   137   148.99   -30.57   137.47   412.94  -383.27    38.21 -4966.99
   138   129.86     0.69  -136.22   184.28   129.94   -98.69  -718.20
   139   144.17   -30.62  -139.09   528.10   510.72    70.65   880.40
   140   151.03   -35.77  -139.91   285.57   441.15     7.72  -255.80
   141   118.17    -1.52  -142.52   202.07   318.84   -95.72 -1338.27
   142   119.49     8.65  -142.52    13.81   -13.23    54.56   238.61
   143   137.07    31.24  -143.13     0.71  -211.69     8.17  1635.98
