# npoints=256 nbar=4000 length= 200.0Mpc verr=1660.0km/s nonlin= 250.0km/s
#dipole v_rms = 125.498322
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0   115.41    -6.22  -150.64   -51.57  -325.32   -26.51   183.70
     1   137.16   -40.49  -163.47   115.31  -774.39  -156.27 -2056.98
     2   104.88    13.35   168.52   222.16   -87.10   -62.98   873.38
     3   107.02    14.80   165.12   219.14   122.47    10.28 -4381.43
     4   113.20   -19.77   159.84   -41.72  -286.05     2.34   764.84
     5   112.44   -18.22   159.44    15.89  -216.60   -44.57  -937.82
     6   112.73    15.68   157.13    44.31   194.30   471.58  -662.45
     7   119.68   -23.46   155.62   -34.72     4.98  -255.71  2066.01
     8   111.48    -1.20   153.79   454.02   124.46  -299.43   170.27
     9   115.09    12.15   152.72   127.63   365.84   313.10   417.94
    10   126.09   -24.92   150.98   166.35    43.35   -83.23  -583.12
    11   127.91    19.63   146.10  -125.95   125.25   176.27 -2849.59
    12   150.62    35.15   144.29    64.45    -3.24    35.64  2377.56
    13   131.56   -19.42   143.71   -39.95    36.22    27.39  1274.23
    14   127.01     7.42   142.56   459.45   260.19   126.69 -1016.85
    15   135.01    19.96   142.00  -128.34    51.76    29.29  -442.72
    16   144.85    23.52  -138.34  -316.40  -292.93  -159.09   415.87
    17   140.75   -32.95  -147.15   -17.62   -74.85   -79.19   -34.84
    18   133.53    34.99  -155.08  -222.86   100.01   300.47  1212.23
    19   112.01    19.98  -160.49   126.80   132.10  -227.24  1487.06
    20   106.69   -15.28  -164.59   111.99   -36.71  -174.19  1196.93
    21   111.25   -23.60  -166.71   197.20  -142.85  -259.25  2727.99
    22   138.38   -43.53  -171.49   203.67  -180.52  -482.85 -2274.42
    23   100.59    -6.69  -173.26   -66.43   147.73    17.07  2793.19
    24   125.87    37.46  -173.26   156.38  -389.40    76.07  1109.81
    25   125.44    37.61  -176.85    20.26  -133.45  -196.74    25.63
    26   103.27    15.80   176.85   255.94  -306.05   -83.61  1963.80
    27   103.02    14.49   174.16   301.54  -157.26   -67.37  1913.28
    28   105.78   -18.07   170.61    17.24    59.91    56.75   386.16
    29   104.55    -1.71   161.70   331.98  -219.22  -445.63  -434.73
    30   112.25     6.80   152.90   327.97   404.86  -119.51  1466.94
    31   121.44     6.28   145.28   411.63   211.39   202.01  2793.63
    32   130.70   -19.19   143.49    23.55    37.46    76.39   850.57
    33   148.55   -23.23   136.62   268.60    87.71   -47.53  -579.26
    34   148.73    20.61  -135.00  -395.88    38.73  -220.07  3536.20
    35   129.78    -7.61  -139.93   -90.23  -318.23   -99.68 -1263.94
    36   147.17   -30.99  -141.28  -113.16   206.86  -184.42   -66.38
    37   139.21    31.46  -146.00  -221.15  -199.47    64.63 -2798.24
    38   117.72    11.48  -148.57   -40.61  -110.67   120.71  1684.67
    39   105.63    16.32  -166.18   501.54  -273.13   150.92  -626.44
    40   104.08   -14.34  -167.47   112.49    65.31  -153.88 -3860.85
    41   107.20    22.72  -174.56   243.02  -338.93  -208.50 -4536.48
    42   112.50    28.63  -175.46    71.94  -129.20    80.45   764.30
    43   129.16   -40.33   178.64   212.91   395.85    88.95  -823.90
    44   134.95   -43.09   177.27    79.94   323.90    24.33  3122.94
    45   106.97     3.35   157.19   437.87   105.13  -209.12  -675.31
    46   133.50   -26.78   145.68    36.59    81.10    -3.67 -2256.32
    47   144.74   -21.87   137.12   162.84   321.04  -150.46  -266.01
    48   125.82    15.49  -143.65     2.77  -138.26   279.83  2597.02
    49   148.51   -37.60  -146.10   -34.77   157.85   131.22    79.92
    50   125.88   -23.40  -147.71   -33.65  -308.57  -479.38   -93.29
    51   135.60    33.18  -149.37   -92.02   -52.88     9.25  2848.60
    52   136.63    35.27  -151.10   -56.41   327.70   408.76  3252.48
    53   116.93    20.74  -153.25    87.41  -326.20   -81.89   504.82
    54   143.27   -40.46  -153.62    29.08  -548.63   181.79  1622.54
    55   125.48    32.80  -157.80   -16.33   -39.57   219.77  1180.40
    56   111.18   -21.00  -160.20    32.04   -36.74  -174.62  2419.04
    57   103.02    -3.91  -161.84  -110.05   152.48   203.05  3444.97
    58   104.06   -13.46  -164.78    22.98   115.74  -200.35  -750.42
    59   101.58   -12.89  -170.46    54.65   172.31   -77.88  -469.14
    60    99.27     9.06  -174.97   479.65   123.71   -13.49 -1493.60
    61   114.39   -31.27  -177.25   360.72   -93.18   216.39  1312.65
    62   125.40    37.18   167.81   -45.25    34.45    49.56 -2917.62
    63   138.79    42.93   163.93   109.92   204.54  -107.17  -701.73
    64   128.63    36.96   161.84   199.57   183.47   177.58  1216.00
    65   110.70   -13.47   155.11   227.88   202.03    -2.22  -698.51
    66   109.89     3.26   152.89   315.12   185.12   -38.02  -747.89
    67   145.42   -40.14   151.45   388.76    56.85   198.05  -441.06
    68   112.15     3.59   150.75   302.51   299.26   -27.45 -3247.45
    69   132.09   -28.63   147.38   185.13    16.12   -81.83  1226.84
    70   154.92    39.82   145.16   288.12   -89.43    48.15  1848.67
    71   147.49   -23.41  -135.70    88.35    33.18  -112.58  -440.54
    72   114.89    -9.79  -148.83   -28.08  -347.22  -117.80  -459.44
    73   111.70   -11.70  -152.34   -68.67  -331.22  -370.98  1501.15
    74   116.46   -29.76  -163.39   396.98  -293.45   -66.58 -1723.99
    75   118.05    33.77  -170.84    41.68  -160.50   145.71  -368.26
    76    98.58   -10.50  -178.15  -163.09   236.48    27.36  1878.61
    77    96.93     1.85   180.00   -49.29    98.60    19.29  2237.00
    78   102.44    11.88   165.10   294.10    83.82  -414.75 -2287.89
    79   107.63     0.83   154.18   418.81    99.34  -262.52  1915.48
    80   163.08    37.13   138.17   206.37    95.31   207.75   825.86
    81   117.63    -8.40  -145.67    22.64  -245.22  -200.21  1050.50
    82   134.34   -41.53  -162.83   -13.51  -647.61  -177.90  1072.45
    83    98.66    -5.45  -168.06   -37.78   364.78   250.62  -812.69
    84   132.42   -43.19  -174.43   290.83   170.41  -351.65    49.66
    85   114.59    32.59  -174.43  -160.47   -81.71   123.83  -103.72
    86   126.55   -20.98   144.42   -15.69   -74.69    15.15  1619.96
    87   128.42    22.54   144.11  -191.82   114.51    66.30 -2535.36
