# npoints=256 nbar=4000 length= 200.0Mpc verr=1660.0km/s nonlin= 250.0km/s
#dipole v_rms = 125.498322
#    i        r    theta      phi      v_x      v_y      v_z      S_r
     0   158.09   -36.02  -141.45    90.24  -127.11   172.10   835.96
     1   119.44   -25.99  -158.66   244.30    18.02    30.60   561.10
     2   121.86   -34.79  -177.76  -129.76   260.38   404.63  -129.22
     3   122.17    34.25   172.00  -113.99  -395.12  -299.99 -3127.86
     4   115.02   -27.95   169.81   341.88  -159.31   259.08 -2475.79
     5   111.83   -24.34   168.95   287.94   -86.46   348.01 -1930.26
     6   118.51   -18.85   153.08   115.96   135.11   151.18 -2434.96
     7   146.10   -38.73   151.33   -45.01    38.09    -8.91   246.78
     8   143.26    16.15   136.61  -366.55  -284.30    80.04  -994.62
     9   122.16   -20.99  -150.45   315.57    59.84  -253.49  2149.50
    10   147.64    39.42  -150.45   290.65  -162.39   388.18  -779.76
    11   107.48    -5.84  -158.12   243.90   -11.72    47.48  1109.92
    12   103.64     2.16  -163.34    38.19   -63.09  -367.99 -2532.31
    13    99.22    -0.45  -179.55   -79.70   271.17  -286.24  -605.97
    14   101.94   -11.94   174.16    48.05   -93.50    29.01 -1717.12
    15   101.87     6.16   168.43   104.55   -66.42  -134.53 -1034.69
    16   119.84   -31.87   167.14   164.39    51.68  -140.94  2817.38
    17   159.74   -38.04   142.06    44.48    -4.23  -202.62  -257.90
    18   128.39     2.79   140.69    -9.07  -500.63   218.92  -470.20
    19   146.11   -23.64   137.84   213.31  -149.00   218.46  1263.01
    20   140.55    -6.06   135.23   152.03    71.57  -208.65  -919.12
    21   163.60   -31.69  -135.00  -146.33   -53.62  -204.62  1183.35
    22   140.03   -17.87  -137.61   368.43    62.84   -13.20  -587.81
    23   163.33   -37.75  -139.66    41.34  -198.20  -129.85 -1893.76
    24   111.99    -9.64  -153.07   127.16   151.10   133.30 -2147.82
    25   122.31   -29.46  -157.57   135.59   -94.80    22.58   236.00
    26   107.04    15.23  -162.39    78.85    68.09   -58.74 -1722.49
    27    99.55    -8.12  -177.27  -179.67   166.84  -124.26  1088.61
    28   107.43     1.25   156.42  -679.74     3.66   -39.62  -110.02
    29   120.18    26.65   156.42   -66.56   227.76  -202.85  1061.27
    30   109.07     1.64   154.54  -505.75   142.41   -51.80  2948.20
    31   120.30   -17.77   149.24   215.95   -34.18    81.25 -1233.71
    32   118.54    14.89   149.24  -403.30  -140.85  -251.61 -2346.75
    33   153.87    31.87   138.88   -73.56   147.42   202.16  1313.87
    34   153.25    25.68   135.46    53.95  -144.53   423.33  -706.36
    35   158.09   -32.93  -137.39  -250.43    74.15   -51.97  -330.40
    36   156.16   -36.18  -140.79   -39.64  -174.07    27.07   265.24
    37   127.28    23.90  -147.06    98.79   133.08   -79.26  -830.28
    38   133.28    30.27  -148.04    35.04   201.79   206.38 -3739.89
    39   125.36    29.91  -153.99   195.08    -8.21    84.50  -425.93
    40   111.93    23.01  -161.43    10.90    16.41    82.54 -2514.09
    41    99.04     8.16  -174.97   184.25   101.32  -237.39  -472.57
    42   104.03   -19.75  -175.88   -36.28   -15.11   194.65 -1799.17
    43   102.02   -10.14   166.50    58.32    12.43  -129.20  -653.03
    44   123.15   -31.34   158.20   156.76    84.42  -202.22   365.03
    45   108.66    -4.54   154.36  -247.83   219.79   -18.17  1119.60
    46   120.96    -2.96   143.95   -32.44  -231.04   182.70   862.95
    47   152.04   -36.22   142.77   107.86   211.35   -91.86  1242.65
    48   136.46    25.07   142.19  -259.67  -121.97   183.88 -1040.69
    49   141.86    28.99   141.90  -179.32   177.36    32.44   101.71
    50   139.05    -8.40   135.23   162.11   -13.74  -174.18  1496.06
    51   148.50   -20.96  -134.32   359.21  -105.29    44.39  1475.12
    52   152.79    26.74  -135.23   -12.43   -70.70   367.17 -1938.11
    53   153.24   -36.62  -141.97   -11.49   -45.90   187.95   361.36
    54   138.19   -40.13  -156.47  -105.40  -378.66   -28.83  4193.97
    55   105.02    20.47  -169.94    64.87   119.32   247.03  2331.11
    56   115.10    31.51  -170.84    -8.55   109.40   276.62 -2000.42
    57    98.03    -1.37  -171.29    83.82   354.73   -99.16 -3049.12
    58   132.90   -39.85   161.70   328.19   157.54   184.25     2.96
    59   107.12     8.39   156.08  -538.05   191.81   -53.21   902.55
    60   126.90   -14.26   141.97   -21.41   -80.92    75.16 -1223.38
    61   129.09    13.65   140.56  -200.38   -66.11  -218.75  -747.43
    62   137.08     1.96   135.00   140.06  -223.58   104.86  1212.66
    63   150.78   -24.16  -134.31   189.14   226.71   278.50  -527.01
    64   152.79   -33.87  -139.25  -168.10    50.22   273.21 -1493.03
    65   140.24    39.43  -152.51    69.70   101.81   105.71    48.43
    66   130.81   -37.53  -157.88   -20.67   -94.82   158.75   977.76
    67   101.59   -15.16  -168.51   101.26   141.47  -235.06  -737.55
    68   106.24    25.25   180.00  -117.77    48.03   -87.30  -817.83
    69   134.17   -43.40   170.31    54.03   167.65   -86.52  2242.74
    70   104.82   -18.69   165.42    92.23   -72.05    88.72  3441.87
    71   100.21    -4.47   164.12  -329.85   -83.22  -133.07  2893.27
    72   128.21    37.99   161.99  -123.68    29.22  -279.43  1341.88
    73   112.07    24.72   160.73   116.90    -9.54  -106.24  -354.29
    74   105.19    -8.54   157.48   122.49  -137.38  -195.82   994.68
    75   104.64    -0.43   156.69  -625.43    29.92   -98.36 -1442.27
    76   111.98   -20.42   156.30   -20.10   -76.25     3.67  -791.55
    77   120.97   -25.23   151.42   289.82    37.26   139.81  1450.80
    78   146.62   -39.35   147.95   -18.34   193.83  -176.11   722.99
    79   130.66   -10.68   138.45   141.78   -55.20   -65.94   -44.49
    80   160.79    36.70   138.19  -295.07    -1.04   -73.89  -625.93
    81   129.73     4.14  -137.45   -35.41   -57.92  -231.30 -1795.41
    82   128.35     5.24  -138.22    -9.72    68.88  -307.01   462.46
    83   153.62    34.72  -139.01   -86.44  -278.01  -130.56   -57.50
    84   141.61   -28.68  -140.10     7.45   205.29    47.01 -1574.74
    85   144.67   -31.59  -140.66  -245.90   198.27  -186.81 -1678.96
    86   127.74    15.25  -140.66  -117.87  -134.44   152.11  -313.13
    87   142.28    33.31  -143.28   142.23  -226.58   -10.36  -894.11
    88   122.03    17.13  -144.82   -22.38    22.21   117.15  1411.78
    89   116.63    11.20  -146.42    90.53    12.80    10.30  2008.88
    90   112.17    -6.40  -148.76   150.18    86.99     0.94 -3727.97
    91   112.64    -9.58  -149.11     2.58    60.23   -35.21 -3098.71
    92   123.74    38.69   170.69  -205.25  -331.06  -348.90 -1774.70
    93   106.76   -17.90   159.75    66.92   -94.75   132.41 -1166.41
    94   108.63    18.01   157.31  -290.14    70.97  -213.49 -1930.07
    95   119.15    29.89   157.31   -53.94   116.57   -80.23   166.65
    96   120.57   -17.73   146.09   188.29  -323.71   231.28 -3376.86
    97   126.95   -14.98  -140.43    18.89  -165.95  -220.27    44.15
    98   114.32    11.43  -147.53    48.89    22.42     0.59  -799.41
    99    97.93    12.91  -172.00   123.70     5.98  -243.81 -1003.42
   100   102.90   -23.25  -179.05   251.84   103.28   398.92    88.65
   101   119.73   -37.83   178.58  -228.37   317.53   323.06   119.98
   102    94.82    -4.25   178.58  -149.37    51.69  -194.05 -1016.78
   103   108.84   -29.22   174.34   266.77   -79.45   359.52   428.15
   104   100.67   -17.62   170.15    59.24   185.83   -29.23 -1787.93
   105   110.47    28.74   167.42  -161.86  -116.99  -149.84  2845.68
